Feature,Coefficient,Abs_Coefficient
medical_specialty_1_Pediatrics-Pulmonology,1.1537774005736194,1.1537774005736194
medical_specialty_1_Pathology,0.9262079382924958,0.9262079382924958
medical_specialty_1_Cardiology-Pediatric,0.6993857789620332,0.6993857789620332
medical_specialty_1_Podiatry,0.6248324184443408,0.6248324184443408
rosiglitazone_Steady,0.5963225047257289,0.5963225047257289
glyburide-metformin_Steady,0.5383403817665322,0.5383403817665322
rosiglitazone_No,0.4857228476274146,0.4857228476274146
medical_specialty_1_InfectiousDiseases,0.46430027442549887,0.46430027442549887
age_[70-80),0.4518554135008845,0.4518554135008845
medical_specialty_1_Dentistry,0.43764653553579264,0.43764653553579264
medical_specialty_1_Resident,0.43212482845879746,0.43212482845879746
chlorpropamide_Up,0.4269531553345476,0.4269531553345476
medical_specialty_1_PhysicianNotFound,0.4229452092649396,0.4229452092649396
glyburide-metformin_No,0.4207119314349692,0.4207119314349692
age_[80-90),0.4115809974928816,0.4115809974928816
race_Caucasian,0.40878101652837306,0.40878101652837306
age_[60-70),0.40486038518786155,0.40486038518786155
glipizide-metformin_Steady,0.3897084622063273,0.3897084622063273
race_AfricanAmerican,0.3826447909666598,0.3826447909666598
number_inpatient,0.3576982620077358,0.3576982620077358
age_[10-20),0.34110167693845306,0.34110167693845306
age_[40-50),0.33031494491228497,0.33031494491228497
medical_specialty_1_Hematology,0.3258339664854061,0.3258339664854061
age_[50-60),0.3256457147641989,0.3256457147641989
medical_specialty_1_Pediatrics-InfectiousDiseases,0.3065753969152222,0.3065753969152222
medical_specialty_1_Surgery-PlasticwithinHeadandNeck,0.29344053122663283,0.29344053122663283
diabetesMed_Yes,0.28623681665725126,0.28623681665725126
medical_specialty_1_Hematology/Oncology,0.2801664568545853,0.2801664568545853
medical_specialty_1_Dermatology,0.2784754682483388,0.2784754682483388
race_Hispanic,0.268434072123933,0.268434072123933
repaglinide_Steady,0.26765990747738266,0.26765990747738266
medical_specialty_1_Radiology,0.26746069853129595,0.26746069853129595
medical_specialty_1_OutreachServices,0.2623314567594012,0.2623314567594012
age_[20-30),0.2583824038288087,0.2583824038288087
medical_specialty_1_Nephrology,0.25567905658883144,0.25567905658883144
medical_specialty_1_Gastroenterology,0.25198007559035374,0.25198007559035374
medical_specialty_1_SportsMedicine,0.24964514666170445,0.24964514666170445
troglitazone_Steady,0.2443101562843239,0.2443101562843239
age_[30-40),0.21397409942806614,0.21397409942806614
acarbose_Up,0.20967531445867268,0.20967531445867268
number_emergency,0.20930158052500275,0.20930158052500275
glimepiride-pioglitazone_Steady,0.20228897205096688,0.20228897205096688
medical_specialty_1_Osteopath,0.1910028591183896,0.1910028591183896
medical_specialty_1_Surgery-Colon&Rectal,0.1813551728497649,0.1813551728497649
miglitol_Up,0.17511963393470825,0.17511963393470825
medical_specialty_1_Surgery-Vascular,0.17154094755248392,0.17154094755248392
Diagnosis_Category (diag_1)_Diabetes,0.15474387044051743,0.15474387044051743
medical_specialty_1_Pediatrics-AllergyandImmunology,0.14979511061500322,0.14979511061500322
race_Other,0.14801203795024057,0.14801203795024057
medical_specialty_1_Emergency/Trauma,0.14575219909730552,0.14575219909730552
metformin_No,0.13221603382295471,0.13221603382295471
rosiglitazone_Up,0.1279134154862304,0.1279134154862304
medical_specialty_1_Pulmonology,0.12362748778215912,0.12362748778215912
medical_specialty_1_None,0.12317534482114226,0.12317534482114226
medical_specialty_1_Family/GeneralPractice,0.1039173142043522,0.1039173142043522
age_[90-100),0.08656103304420433,0.08656103304420433
glimepiride_Steady,0.0834844823256526,0.0834844823256526
Diagnosis_Category (diag_2)_Diabetes,0.0829760796929486,0.0829760796929486
number_diagnoses,0.07913520420467988,0.07913520420467988
Diagnosis_Category (diag_3)_Diabetes,0.07627225229713308,0.07627225229713308
number_outpatient,0.07304807185165418,0.07304807185165418
glipizide_Up,0.06496917251308411,0.06496917251308411
medical_specialty_1_Surgery-General,0.06437176892235642,0.06437176892235642
Diagnosis_Category (diag_3)_Digestive,0.060207367590346846,0.060207367590346846
glimepiride_No,0.058768297220263534,0.058768297220263534
medical_specialty_1_Surgery-Plastic,0.058043067975200986,0.058043067975200986
admission_type_id,0.05184583939059863,0.05184583939059863
medical_specialty_1_Surgery-Thoracic,0.04926554369450288,0.04926554369450288
pioglitazone_Up,0.04560345250143217,0.04560345250143217
repaglinide_No,0.04207497355816234,0.04207497355816234
medical_specialty_1_Pediatrics-EmergencyMedicine,0.036634409722570156,0.036634409722570156
medical_specialty_1_Radiologist,0.03228734508388798,0.03228734508388798
Diagnosis_Category (diag_3)_Genitourinary,0.031096336131761913,0.031096336131761913
medical_specialty_1_Oncology,0.02153865692233547,0.02153865692233547
time_in_hospital,0.020647225289237413,0.020647225289237413
metformin_Steady,0.017542432156122358,0.017542432156122358
medical_specialty_1_Urology,0.016322737574591392,0.016322737574591392
change_No,0.015787581104681425,0.015787581104681425
admission_source_id,0.00505284704452659,0.00505284704452659
medical_specialty_1_Psychology,0.0029707836755054184,0.0029707836755054184
num_lab_procedures,0.001552575283270388,0.001552575283270388
medical_specialty_1_Psychiatry,0.0012832630229529345,0.0012832630229529345
num_medications,0.0005321457612328629,0.0005321457612328629
medical_specialty_1_Speech,0.0,0.0
metformin-pioglitazone_Steady,0.0,0.0
acetohexamide_Steady,0.0,0.0
tolazamide_Up,0.0,0.0
