Feature,Importance
num_lab_procedures,0.08645300878437202
num_medications,0.07825604136886333
time_in_hospital,0.05694169908188887
number_inpatient,0.05062874006032673
discharge_disposition_id,0.043097971632591596
number_diagnoses,0.042418766130410124
num_procedures,0.037573066151327265
admission_type_id,0.025734867385623507
admission_source_id,0.022279748943277097
gender_Male,0.02036074095695506
number_outpatient,0.019515098346580488
Diagnosis_Category (diag_3)_Other,0.01644012103417682
Diagnosis_Category (diag_2)_Other,0.01640988869015799
number_emergency,0.015848692634580955
Diagnosis_Category (diag_1)_Other,0.013781376905431417
age_[70-80),0.013388604331459062
age_[60-70),0.013094372958311055
medical_specialty_1_None,0.01306248732497654
Diagnosis_Category (diag_3)_Diabetes,0.012459433228953244
race_Caucasian,0.012001712075735707
age_[50-60),0.011466654637518583
age_[80-90),0.011224928238415815
insulin_Steady,0.0108200680484831
change_No,0.010761554859877094
race_AfricanAmerican,0.010426981433857691
Diagnosis_Category (diag_2)_Diabetes,0.010161853585416523
Diagnosis_Category (diag_2)_Respiratory,0.010011665279342332
medical_specialty_1_InternalMedicine,0.009454824707372246
insulin_No,0.009218693498357551
Diagnosis_Category (diag_1)_Respiratory,0.009206654574938767
Diagnosis_Category (diag_1)_Digestive,0.009178985977714738
Diagnosis_Category (diag_2)_Genitourinary,0.008832947891424274
age_[40-50),0.008439839989706566
A1Cresult_>8,0.008208115946821854
Diagnosis_Category (diag_3)_Respiratory,0.007922210374912976
metformin_No,0.00769857863655643
glipizide_No,0.007586434811290207
Diagnosis_Category (diag_1)_Diabetes,0.007515058591210234
metformin_Steady,0.007465788501954631
Diagnosis_Category (diag_1)_Injury,0.007423410532521244
medical_specialty_1_Family/GeneralPractice,0.007278007663037854
Diagnosis_Category (diag_3)_Genitourinary,0.007224971767593821
glipizide_Steady,0.007170241161329958
glyburide_No,0.0070919162817662095
glyburide_Steady,0.006683490883289119
diabetesMed_Yes,0.006666882714263123
A1Cresult_Norm,0.0066407466627163925
insulin_Up,0.006638536885663199
Diagnosis_Category (diag_1)_Genitourinary,0.006503347380074575
medical_specialty_1_Emergency/Trauma,0.005965789283153495
pioglitazone_No,0.00585212133898014
pioglitazone_Steady,0.005704598716184479
A1Cresult_>7,0.005667073469271827
medical_specialty_1_Cardiology,0.005482195930982389
rosiglitazone_No,0.005402253081281021
Diagnosis_Category (diag_2)_Digestive,0.0053746469727145
Diagnosis_Category (diag_3)_Digestive,0.005265438753875496
rosiglitazone_Steady,0.005131570278827653
glimepiride_No,0.004738637513632441
glimepiride_Steady,0.004544457255587157
Diagnosis_Category (diag_1)_Musculoskeletal,0.004510187416695957
age_[30-40),0.004253312223048731
age_[90-100),0.004231782314037251
medical_specialty_1_Surgery-General,0.004043417124245259
Diagnosis_Category (diag_2)_Injury,0.003609415890915555
Diagnosis_Category (diag_3)_Injury,0.00333021999565112
Diagnosis_Category (diag_3)_Musculoskeletal,0.003103621726108391
max_glu_serum_Norm,0.0029367532294592275
Diagnosis_Category (diag_2)_Musculoskeletal,0.002927435942422661
race_Hispanic,0.0028547434094703082
medical_specialty_1_Nephrology,0.0025498299282568394
race_Other,0.002325172234530923
age_[20-30),0.0022926054938629983
max_glu_serum_>200,0.001976520047630931
medical_specialty_1_Radiologist,0.001942382503087311
repaglinide_No,0.0018586473117490868
max_glu_serum_>300,0.001789521719341088
repaglinide_Steady,0.0017271789557390127
medical_specialty_1_Orthopedics-Reconstructive,0.0016794056323067958
medical_specialty_1_Pulmonology,0.001655892482168598
medical_specialty_1_Orthopedics,0.0015718189117007678
metformin_Up,0.0015367067730100805
glyburide_Up,0.0014052760019461494
medical_specialty_1_Psychiatry,0.001389997487916491
glipizide_Up,0.001302307624766156
race_Asian,0.0012518057254972393
